videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
BjKa4RcsM_8,Washington Nationals Hiring New Racing President,You don't have to wait until 2020 to get into a presidential race. The Washington Nationals are looking for a new Racing President ...,2018-12-05T18:22:18Z,@nappy-headedknuckleheads9109,LMFWAO,2018-12-10T14:18:25Z,0
uNAqcdm__VM,Washington Elementary School District already hiring for 2019-2020 school year,The statewide teacher shortage has districts starting the hiring process more than half a year before classes start.,2019-01-14T22:17:38Z,@claudiastarr776,I wonder if the applicants will checkout the school boards recent moves,2023-03-19T18:10:23Z,0
uNAqcdm__VM,Washington Elementary School District already hiring for 2019-2020 school year,The statewide teacher shortage has districts starting the hiring process more than half a year before classes start.,2019-01-14T22:17:38Z,@prettylady6843,This school district has the worst job interviews ever.,2022-11-24T12:51:20Z,0
